repetition,query_label,query_id,query_duration_ms,read_rows,read_bytes,result_rows,memory_usage
1,day_peak_no_filter,18855921-524f-4a3e-ad36-459ee7d4cc34,37,96818,1549088,1,7127617
1,hour_peak_no_filter,5ca143b1-3fad-45a3-8764-9601279a4a06,34,96818,1549088,1,7131025
1,minute_peak_no_filter,5e449b90-3a51-4c65-9a7f-e27d8397baf4,46,96818,1549088,1,7127681
1,day_peak_platform_android_phone,c67ea6aa-43dc-4bba-913e-981049df1728,41,193636,1743732,1,7209274
1,day_peak_platform_sony_android_tv,0e4f3d1a-7fb1-475c-9d61-e1930d80fb53,41,193636,1630884,1,7210042
1,day_peak_video_type_live,0d8cbb6e-c481-4c78-aea7-13995e126d26,41,193636,1629812,1,7212110
1,day_peak_iphone_india,bd2bb5ea-e116-4234-ab34-c0b47079d0dc,58,290454,1938120,1,7284391
1,day_peak_vod_mweb,67a29861-22a8-43b8-b199-ece5dd83dead,46,290454,1817679,1,7277379
2,day_peak_no_filter,dcb9946c-c1ce-4eb7-913f-f81e725b502b,36,96818,1549088,1,7127241
2,hour_peak_no_filter,7c2d5fd3-4ed8-457a-ad2c-aa3b44e300ec,34,96818,1549088,1,7130577
2,minute_peak_no_filter,27e47179-d31a-449b-8530-f8ba8e4148b3,35,96818,1549088,1,7128129
2,day_peak_platform_android_phone,549a5fbe-f720-4031-9f00-ac54a4c7310d,42,193636,1743732,1,7204694
2,day_peak_platform_sony_android_tv,e49c2b3b-ed13-4f30-aba2-54f83928e67b,39,193636,1630884,1,7209630
2,day_peak_video_type_live,4e903f5c-d272-406a-a183-200dd13155b3,42,193636,1629812,1,7250787
2,day_peak_iphone_india,2af87750-cf87-4fad-bc42-df85bddd58ce,47,290454,1938120,1,7283463
2,day_peak_vod_mweb,fad8369c-5fe1-49e7-b098-506ff9a3bdfd,47,290454,1817679,1,7320008
3,day_peak_no_filter,40b90e0d-a371-4a12-b448-cd6c4c2f8cad,34,96818,1549088,1,7131785
3,hour_peak_no_filter,11152602-1673-4751-a880-6daaa0c5621a,35,96818,1549088,1,7127681
3,minute_peak_no_filter,43855ddc-a91c-453d-887d-8f2a6627632b,34,96818,1549088,1,7127233
3,day_peak_platform_android_phone,b5c32aee-a84c-4d61-ab5b-46c6296520de,41,193636,1743732,1,7209274
3,day_peak_platform_sony_android_tv,30752c57-7a6f-4475-8be9-6f4fa7067c0f,41,193636,1630884,1,7206098
3,day_peak_video_type_live,56b345e2-12ce-4df1-a1ed-9f24dce5bc91,46,193636,1629812,1,7214558
3,day_peak_iphone_india,f676d4aa-32fc-4382-87cb-4a398d98ae7d,49,290454,1938120,1,7279478
3,day_peak_vod_mweb,6d563f3a-0d17-4b37-8a9c-b51a2746c111,45,290454,1817679,1,7277472
4,day_peak_no_filter,6a2b3397-f8c9-41b5-a132-66977ee23ea1,34,96818,1549088,1,7131337
4,hour_peak_no_filter,0440c8e4-aadc-48fa-ad4e-cae26c9f4b0f,35,96818,1549088,1,7127841
4,minute_peak_no_filter,3049b78e-262a-4a82-885e-abdf009363be,37,96818,1549088,1,7127233
4,day_peak_platform_android_phone,0b2640ae-b591-4c07-a5b1-0d18e4e45076,41,193636,1743732,1,7205162
4,day_peak_platform_sony_android_tv,7691ba06-b67c-4916-b09d-b7ee5d78bcbd,40,193636,1630884,1,7206126
4,day_peak_video_type_live,2795ea8a-41e4-4acb-9b8d-3906b26a1d72,41,193636,1629812,1,7250635
4,day_peak_iphone_india,b1284076-d4c6-4e55-a8bf-2e70f8c4bf8d,45,290454,1938120,1,7360591
4,day_peak_vod_mweb,b68c1b57-50be-477c-92c5-1a4fc4666441,46,290454,1817679,1,7342528
5,day_peak_no_filter,5029b366-562e-4cf2-b30a-ca37ee2bdb44,34,96818,1549088,1,7131785
5,hour_peak_no_filter,874d68e8-eb05-438e-beb9-fbe35f16ce0a,35,96818,1549088,1,7127681
5,minute_peak_no_filter,9d1e35f2-463b-4f9b-b6b3-39df4b2859d3,38,96818,1549088,1,7127681
5,day_peak_platform_android_phone,88c79b4d-4619-4286-8beb-3ed5cb28c802,42,193636,1743732,1,7205338
5,day_peak_platform_sony_android_tv,edb77643-f2b8-45b1-974d-02d7c75280a3,40,193636,1630884,1,7209942
5,day_peak_video_type_live,6c46ee89-879b-4cc8-a5e4-ca53a4a6923e,45,193636,1629812,1,7212047
5,day_peak_iphone_india,9ca20c3d-df45-40b3-a484-0dfb819d7e81,47,290454,1938120,1,7330295
5,day_peak_vod_mweb,55a1a2dd-da42-4d3a-a2ee-48113199c42d,49,290454,1817679,1,7277348
